datetime,agent_type,pid,transaction_id,execution_time,source_file,line_number,date,hour,minute,is_slow,is_very_slow,is_critical
2025-11-06 22:25:19.940,eta_agent,7793,11017739577259,23.328,time6.txt,53239,2025-11-06,22,25,True,False,False
2025-11-06 22:25:20.357,eta_agent,7768,11017739577264,23.297,time6.txt,35537,2025-11-06,22,25,True,False,False
2025-11-06 22:25:21.226,eta_agent,7785,11017739574115,23.293,time6.txt,48789,2025-11-06,22,25,True,False,False
2025-11-06 22:25:22.387,eta_agent,7770,11017739586470,34.454,time6.txt,40040,2025-11-06,22,25,True,True,False
2025-11-06 22:25:22.904,eta_agent,7853,11017739574048,38.171,time6.txt,66724,2025-11-06,22,25,True,True,False
2025-11-06 22:25:27.583,eta_agent,7860,11017739576934,115.895,time6.txt,69043,2025-11-06,22,25,True,True,True
2025-11-06 22:25:28.432,eta_agent,7985,11017739586578,23.302,time6.txt,93172,2025-11-06,22,25,True,False,False
2025-11-06 22:25:32.718,eta_agent,8087,11017739586530,35.807,time6.txt,110418,2025-11-06,22,25,True,True,False
2025-11-06 22:25:33.008,eta_agent,7773,11017739574189,20.411,time6.txt,46579,2025-11-06,22,25,True,False,False
2025-11-06 22:25:33.424,eta_agent,7760,11017739574187,20.962,time6.txt,17751,2025-11-06,22,25,True,False,False
2025-11-06 22:25:33.929,eta_agent,7696,11017739574084,41.271,time6.txt,15508,2025-11-06,22,25,True,True,False
2025-11-06 22:25:36.646,eta_agent,7690,11017739586546,36.892,time6.txt,2076,2025-11-06,22,25,True,True,False
2025-11-06 22:25:37.164,eta_agent,8144,11017739573968,67.624,time6.txt,130264,2025-11-06,22,25,True,True,True
2025-11-06 22:25:37.344,eta_agent,7964,11017739573871,86.422,time6.txt,84552,2025-11-06,22,25,True,True,True
2025-11-06 22:25:37.871,eta_agent,7861,11017739577143,71.844,time6.txt,71277,2025-11-06,22,25,True,True,True
2025-11-06 22:25:46.353,eta_agent,7772,11017739586700,24.171,time6.txt,44446,2025-11-06,22,25,True,False,False
2025-11-06 22:26:06.330,eta_agent,7788,11017739574390,20.65,time6.txt,51062,2025-11-06,22,26,True,False,False
2025-11-06 22:26:19.371,eta_agent,8025,11017739586931,28.489,time6.txt,99743,2025-11-06,22,26,True,False,False
2025-11-06 22:26:47.727,eta_agent,7985,11017739587140,23.127,time6.txt,93176,2025-11-06,22,26,True,False,False
2025-11-06 22:26:54.520,eta_agent,8098,11017739580894,30.69,time6.txt,119263,2025-11-06,22,26,True,True,False
2025-11-06 22:27:03.963,eta_agent,7768,11017739580901,38.109,time6.txt,35539,2025-11-06,22,27,True,True,False
2025-11-06 22:27:04.134,eta_agent,8099,11017739580956,21.132,time6.txt,121468,2025-11-06,22,27,True,False,False
2025-11-06 22:27:09.592,eta_agent,7771,11017739587128,48.041,time6.txt,42254,2025-11-06,22,27,True,True,False
2025-11-06 22:27:15.404,eta_agent,7696,11017739587118,54.721,time6.txt,15510,2025-11-06,22,27,True,True,False
2025-11-06 22:27:16.609,eta_agent,7963,11017739587386,21.461,time6.txt,82388,2025-11-06,22,27,True,False,False
2025-11-06 22:27:41.864,eta_agent,7691,11017739587497,30.373,time6.txt,4273,2025-11-06,22,27,True,True,False
2025-11-06 22:27:50.295,eta_agent,7793,11017739587539,33.883,time6.txt,53244,2025-11-06,22,27,True,True,False
2025-11-06 22:27:58.340,eta_agent,7767,11017739587398,61.379,time6.txt,33283,2025-11-06,22,27,True,True,True
2025-11-06 22:27:59.629,eta_agent,8079,11017739577774,46.937,time6.txt,106174,2025-11-06,22,27,True,True,False
2025-11-06 22:28:06.465,eta_agent,8109,11017739587709,23.138,time6.txt,123655,2025-11-06,22,28,True,False,False
2025-11-06 22:28:07.610,eta_agent,8025,11017739577847,38.164,time6.txt,99744,2025-11-06,22,28,True,True,False
2025-11-06 22:28:18.631,eta_agent,8093,11017739577915,31.598,time6.txt,114869,2025-11-06,22,28,True,True,False
2025-11-06 22:28:19.426,eta_agent,8036,11017739587780,27.697,time6.txt,103959,2025-11-06,22,28,True,False,False
2025-11-06 22:28:23.539,eta_agent,8132,11017739590029,28.616,time6.txt,128073,2025-11-06,22,28,True,False,False
2025-11-06 22:28:37.125,eta_agent,7692,11017739587904,28.581,time6.txt,6587,2025-11-06,22,28,True,False,False
2025-11-06 22:28:40.926,eta_agent,7763,11017739587813,43.663,time6.txt,24500,2025-11-06,22,28,True,True,False
2025-11-06 22:28:48.307,eta_agent,7770,11017739588032,20.212,time6.txt,40043,2025-11-06,22,28,True,False,False
2025-11-06 22:28:50.537,eta_agent,7964,11017739581273,20.964,time6.txt,84557,2025-11-06,22,28,True,False,False
2025-11-06 22:28:52.446,eta_agent,7962,11017739590175,32.613,time6.txt,80085,2025-11-06,22,28,True,True,False
2025-11-06 22:29:08.989,eta_agent,7963,11017739587948,55.461,time6.txt,82391,2025-11-06,22,29,True,True,False
2025-11-06 22:29:09.435,eta_agent,7772,11017739581296,31.601,time6.txt,44451,2025-11-06,22,29,True,True,False
2025-11-06 22:29:17.758,eta_agent,7961,11017739581330,28.952,time6.txt,77834,2025-11-06,22,29,True,False,False
2025-11-06 22:29:19.851,eta_agent,8132,11017739590338,25.439,time6.txt,128075,2025-11-06,22,29,True,False,False
2025-11-06 22:29:22.406,eta_agent,7851,11017739590187,60.853,time6.txt,62196,2025-11-06,22,29,True,True,True
2025-11-06 22:29:23.091,eta_agent,8099,11017739590379,20.294,time6.txt,121471,2025-11-06,22,29,True,False,False
2025-11-06 22:29:25.069,eta_agent,8023,11017739578095,52.251,time6.txt,95402,2025-11-06,22,29,True,True,False
2025-11-06 22:29:45.615,eta_agent,7763,11017739588323,33.711,time6.txt,24502,2025-11-06,22,29,True,True,False
2025-11-06 22:29:46.513,eta_agent,7853,11017739590507,23.391,time6.txt,66730,2025-11-06,22,29,True,False,False
2025-11-06 22:29:55.652,eta_agent,7977,11017739578322,22.341,time6.txt,88717,2025-11-06,22,29,True,False,False
2025-11-06 22:30:01.758,eta_agent,7793,11017739581484,20.958,time6.txt,53247,2025-11-06,22,30,True,False,False
2025-11-06 22:30:02.894,eta_agent,7843,11017739590583,22.212,time6.txt,55479,2025-11-06,22,30,True,False,False
2025-11-06 22:30:06.709,eta_agent,8023,11017739588558,22.205,time6.txt,95404,2025-11-06,22,30,True,False,False
2025-11-06 22:30:16.623,eta_agent,7853,11017739578405,20.24,time6.txt,66731,2025-11-06,22,30,True,False,False
2025-11-06 22:30:18.437,eta_agent,7696,11017739590477,59.479,time6.txt,15512,2025-11-06,22,30,True,True,False
2025-11-06 22:30:18.600,eta_agent,8079,11017739588529,38.672,time6.txt,106177,2025-11-06,22,30,True,True,False
2025-11-06 22:30:20.184,eta_agent,8097,11017739578392,26.641,time6.txt,117113,2025-11-06,22,30,True,False,False
2025-11-06 22:30:26.996,eta_agent,7860,11017739588598,35.607,time6.txt,69049,2025-11-06,22,30,True,True,False
2025-11-06 22:30:55.258,eta_agent,7961,11017739588889,21.967,time6.txt,77838,2025-11-06,22,30,True,False,False
2025-11-06 22:30:56.234,eta_agent,7864,11017739590860,20.192,time6.txt,73415,2025-11-06,22,30,True,False,False
2025-11-06 22:30:58.787,eta_agent,7962,11017739588914,20.992,time6.txt,80089,2025-11-06,22,30,True,False,False
2025-11-06 22:30:58.988,eta_agent,7860,11017739588893,22.715,time6.txt,69050,2025-11-06,22,30,True,False,False
2025-11-06 22:30:59.594,eta_agent,7793,11017739588903,22.558,time6.txt,53249,2025-11-06,22,30,True,False,False
2025-11-06 22:31:00.288,eta_agent,7851,11017739590844,25.748,time6.txt,62199,2025-11-06,22,31,True,False,False
2025-11-06 22:31:11.164,eta_agent,7764,11017739578592,21.184,time6.txt,26550,2025-11-06,22,31,True,False,False
2025-11-06 22:31:12.522,eta_agent,7861,11017739578588,24.077,time6.txt,71285,2025-11-06,22,31,True,False,False
2025-11-06 22:31:13.024,eta_agent,7964,11017739581622,47.902,time6.txt,84559,2025-11-06,22,31,True,True,False
2025-11-06 22:31:13.232,eta_agent,8024,11017739581695,24.276,time6.txt,97559,2025-11-06,22,31,True,False,False
2025-11-06 22:31:13.475,eta_agent,8110,11017739581702,20.858,time6.txt,125847,2025-11-06,22,31,True,False,False
2025-11-06 22:31:24.836,eta_agent,8144,11017739589089,22.017,time6.txt,130270,2025-11-06,22,31,True,False,False
2025-11-06 22:31:25.845,eta_agent,7963,11017739590864,47.857,time6.txt,82392,2025-11-06,22,31,True,True,False
2025-11-06 22:31:33.841,eta_agent,7768,11017739589002,42.907,time6.txt,35547,2025-11-06,22,31,True,True,False
